STAGE 20.0 PREFLIGHT BOUNDARY AUDIT
stage20_title = real two-way fluid-structure coupling activation boundary
stage20_0_title = Stage 19 closure and Stage 20 preflight boundary
repository_root_value = /workspace/Incompact3d-sq
stage20_0_test_case_value = stage20_preflight_boundary
stage19_closure_acceptance_reason_value = ACCEPTED_BY_STAGE19_11_PASS_OR_SOURCE_ONLY_CLOSURE
stage20_1_next_stage_value = Stage 20.1: two-way coupling config and lambda gate
STAGE20_ENABLE_value = true only for preflight diagnostic
STAGE20_TWOWAY_COUPLING_ENABLE_value = false
STAGE20_FLUID_TO_STRUCTURE_ENABLE_value = false
STAGE20_STRUCTURE_TO_FLUID_ENABLE_value = false
STAGE20_RHS_COUPLING_ENABLE_value = false
STAGE20_LAMBDA_COUPLING_value = 0.0
STAGE20_DIAGNOSTIC_ONLY_value = true
STAGE20_FAIL_CLOSED_value = true
stage20_0_requested_status PASS
stage20_0_preflight_enable_status PASS
stage19_closure_accepted_status PASS
stage19_11_pass_evidence_status PASS
stage19_closed_file_optional_status OPTIONAL
stage19_closed_file_content_optional_status OPTIONAL
source_only_stage19_closure_acceptance_status PASS
missing_old_stage_outputs_allowed_status PASS
missing_old_closure_files_allowed_status PASS
no_previous_stage_rerun_status PASS
stage20_boundary_declared_status PASS
stage20_gate_defaults_status PASS
twoway_coupling_default_disabled_status PASS
fluid_to_structure_default_disabled_status PASS
structure_to_fluid_default_disabled_status PASS
rhs_coupling_default_disabled_status PASS
lambda_coupling_zero_status PASS
diagnostic_only_status PASS
fail_closed_status PASS
no_stage10_19_file_modification_status PASS
no_closed_stage_modification_status PASS
no_production_fortran_modification_status PASS
no_cmake_modification_status PASS
no_production_structure_state_creation_status PASS
no_production_structure_buffer_creation_status PASS
no_production_structure_update_status PASS
no_production_structure_hook_status PASS
no_production_structure_advance_api_activation_status PASS
no_production_structure_commit_activation_status PASS
no_fluid_to_structure_force_input_activation_status PASS
no_structure_to_fluid_reaction_force_activation_status PASS
no_bending_force_runtime_application_status PASS
no_tension_force_runtime_application_status PASS
no_fluid_force_input_activation_status PASS
no_force_spreading_to_fluid_rhs_status PASS
no_stage14_rhs_call_from_stage20_0_status PASS
no_fluid_rhs_modification_status PASS
no_ibm_modification_status PASS
no_dns_core_modification_status PASS
no_pressure_projection_modification_status PASS
no_poisson_modification_status PASS
no_rk3_channel_forcing_modification_status PASS
no_channel_forcing_modification_status PASS
no_production_restart_io_modification_status PASS
no_production_statistics_io_modification_status PASS
no_production_visu_io_modification_status PASS
no_stats_visu_restart_io_modification_status PASS
no_production_dns_execution_status PASS
no_mpi_execution_status PASS
no_actual_mpirun_or_mpiexec_status PASS
no_real_wall_contact_force_status PASS
no_real_fibre_fibre_collision_force_status PASS
no_penalty_force_status PASS
no_repulsive_force_status PASS
no_lubrication_force_status PASS
no_friction_force_status PASS
no_adhesion_force_status PASS
no_contact_damping_force_status PASS
no_collision_induced_rhs_status PASS
no_collision_induced_structure_update_status PASS
no_production_multifibre_logic_status PASS
no_direct_rhs_injection_status PASS
no_unapproved_stage14_rhs_call_status PASS
no_legacy_ibm_forcing_status PASS
no_unapproved_production_ibm_forcing_status PASS
no_rg_only_dependency_status PASS
no_unknown_failure_status PASS
stage20_1_next_stage_declared_status PASS
stage20_0_wrapper_bash_syntax_status PASS
stage20_0_helper_py_compile_status PASS
final_status PASS
STAGE 20.0 PREFLIGHT BOUNDARY VERDICT: PASS
STAGE 20.0 FINAL VERDICT: PASS
